date,holiday_name,event_type,trading_status,expected_impact,event_window,closure_flag,reduced_trading_flag
2025-01-01,New Year,new_year,reduced_trading,reduced trading,new_years_day_reduced_trading,0,1
2025-01-02,New Year,new_year,normal,event-affected demand,new_year_travel_period,0,0
2025-01-03,New Year,new_year,normal,event-affected demand,new_year_travel_period,0,0
2025-01-04,New Year,new_year,normal,event-affected demand,new_year_travel_period,0,0
2025-01-05,New Year,new_year,normal,event-affected demand,new_year_travel_period,0,0
2025-01-06,None,normal,normal,normal,normal,0,0
2025-01-07,None,normal,normal,normal,normal,0,0
2025-01-08,None,normal,normal,normal,normal,0,0
2025-01-09,None,normal,normal,normal,normal,0,0
2025-01-10,None,normal,normal,normal,normal,0,0
2025-01-11,None,normal,normal,normal,normal,0,0
2025-01-12,None,normal,normal,normal,normal,0,0
2025-01-13,None,normal,normal,normal,normal,0,0
2025-01-14,None,normal,normal,normal,normal,0,0
2025-01-15,None,normal,normal,normal,normal,0,0
2025-01-16,None,normal,normal,normal,normal,0,0
2025-01-17,None,normal,normal,normal,normal,0,0
2025-01-18,None,normal,normal,normal,normal,0,0
2025-01-19,None,normal,normal,normal,normal,0,0
2025-01-20,None,normal,normal,normal,normal,0,0
2025-01-21,None,normal,normal,normal,normal,0,0
2025-01-22,None,normal,normal,normal,normal,0,0
2025-01-23,None,normal,normal,normal,normal,0,0
2025-01-24,Long Weekend,long_weekend,normal,expected demand uplift,pre_long_weekend_stock_up,0,0
2025-01-25,Long Weekend,long_weekend,normal,event-affected demand,long_weekend,0,0
2025-01-26,Long Weekend,long_weekend,normal,event-affected demand,long_weekend,0,0
2025-01-27,Long Weekend,long_weekend,normal,event-affected demand,long_weekend,0,0
2025-01-28,Long Weekend,long_weekend,normal,post-event recovery,post_long_weekend,0,0
2025-01-29,None,normal,normal,normal,normal,0,0
2025-01-30,None,normal,normal,normal,normal,0,0
2025-01-31,None,normal,normal,normal,normal,0,0
2025-02-01,None,normal,normal,normal,normal,0,0
2025-02-02,None,normal,normal,normal,normal,0,0
2025-02-03,None,normal,normal,normal,normal,0,0
2025-02-04,None,normal,normal,normal,normal,0,0
2025-02-05,None,normal,normal,normal,normal,0,0
2025-02-06,None,normal,normal,normal,normal,0,0
2025-02-07,None,normal,normal,normal,normal,0,0
2025-02-08,None,normal,normal,normal,normal,0,0
2025-02-09,None,normal,normal,normal,normal,0,0
2025-02-10,None,normal,normal,normal,normal,0,0
2025-02-11,None,normal,normal,normal,normal,0,0
2025-02-12,None,normal,normal,normal,normal,0,0
2025-02-13,None,normal,normal,normal,normal,0,0
2025-02-14,None,normal,normal,normal,normal,0,0
2025-02-15,None,normal,normal,normal,normal,0,0
2025-02-16,None,normal,normal,normal,normal,0,0
2025-02-17,None,normal,normal,normal,normal,0,0
2025-02-18,None,normal,normal,normal,normal,0,0
2025-02-19,None,normal,normal,normal,normal,0,0
2025-02-20,None,normal,normal,normal,normal,0,0
2025-02-21,None,normal,normal,normal,normal,0,0
2025-02-22,None,normal,normal,normal,normal,0,0
2025-02-23,None,normal,normal,normal,normal,0,0
2025-02-24,None,normal,normal,normal,normal,0,0
2025-02-25,None,normal,normal,normal,normal,0,0
2025-02-26,None,normal,normal,normal,normal,0,0
2025-02-27,None,normal,normal,normal,normal,0,0
2025-02-28,None,normal,normal,normal,normal,0,0
2025-03-01,None,normal,normal,normal,normal,0,0
2025-03-02,None,normal,normal,normal,normal,0,0
2025-03-03,None,normal,normal,normal,normal,0,0
2025-03-04,None,normal,normal,normal,normal,0,0
2025-03-05,None,normal,normal,normal,normal,0,0
2025-03-06,None,normal,normal,normal,normal,0,0
2025-03-07,None,normal,normal,normal,normal,0,0
2025-03-08,None,normal,normal,normal,normal,0,0
2025-03-09,None,normal,normal,normal,normal,0,0
2025-03-10,None,normal,normal,normal,normal,0,0
2025-03-11,None,normal,normal,normal,normal,0,0
2025-03-12,None,normal,normal,normal,normal,0,0
2025-03-13,None,normal,normal,normal,normal,0,0
2025-03-14,None,normal,normal,normal,normal,0,0
2025-03-15,None,normal,normal,normal,normal,0,0
2025-03-16,None,normal,normal,normal,normal,0,0
2025-03-17,None,normal,normal,normal,normal,0,0
2025-03-18,None,normal,normal,normal,normal,0,0
2025-03-19,None,normal,normal,normal,normal,0,0
2025-03-20,None,normal,normal,normal,normal,0,0
2025-03-21,None,normal,normal,normal,normal,0,0
2025-03-22,None,normal,normal,normal,normal,0,0
2025-03-23,None,normal,normal,normal,normal,0,0
2025-03-24,None,normal,normal,normal,normal,0,0
2025-03-25,None,normal,normal,normal,normal,0,0
2025-03-26,None,normal,normal,normal,normal,0,0
2025-03-27,None,normal,normal,normal,normal,0,0
2025-03-28,None,normal,normal,normal,normal,0,0
2025-03-29,None,normal,normal,normal,normal,0,0
2025-03-30,None,normal,normal,normal,normal,0,0
2025-03-31,None,normal,normal,normal,normal,0,0
2025-04-01,None,normal,normal,normal,normal,0,0
2025-04-02,None,normal,normal,normal,normal,0,0
2025-04-03,None,normal,normal,normal,normal,0,0
2025-04-04,None,normal,normal,normal,normal,0,0
2025-04-05,None,normal,normal,normal,normal,0,0
2025-04-06,None,normal,normal,normal,normal,0,0
2025-04-07,None,normal,normal,normal,normal,0,0
2025-04-08,None,normal,normal,normal,normal,0,0
2025-04-09,None,normal,normal,normal,normal,0,0
2025-04-10,Easter,easter,normal,expected demand uplift,easter_build_up,0,0
2025-04-11,Easter,easter,normal,expected demand uplift,easter_build_up,0,0
2025-04-12,Easter,easter,normal,expected demand uplift,easter_build_up,0,0
2025-04-13,Easter,easter,normal,expected demand uplift,easter_build_up,0,0
2025-04-14,Easter,easter,normal,expected demand uplift,easter_build_up,0,0
2025-04-15,Easter,easter,normal,expected demand uplift,easter_build_up,0,0
2025-04-16,Easter,easter,normal,expected demand uplift,easter_build_up,0,0
2025-04-17,Easter,easter,normal,expected demand uplift,easter_build_up,0,0
2025-04-18,Easter,easter,closed,closed,good_friday_closed,1,0
2025-04-19,Easter,easter,normal,event-affected demand,easter_long_weekend,0,0
2025-04-20,Easter,easter,closed,closed,easter_sunday_closed,1,0
2025-04-21,Easter,easter,reduced_trading,reduced trading,easter_monday_reduced_trading,0,1
2025-04-22,Easter,easter,normal,post-event recovery,post_easter_normalisation,0,0
2025-04-23,Easter,easter,normal,post-event recovery,post_easter_normalisation,0,0
2025-04-24,Easter,easter,normal,post-event recovery,post_easter_normalisation,0,0
2025-04-25,Anzac,anzac,closed,closed,anzac_day_closed,1,0
2025-04-26,None,normal,normal,normal,normal,0,0
2025-04-27,None,normal,normal,normal,normal,0,0
2025-04-28,None,normal,normal,normal,normal,0,0
2025-04-29,None,normal,normal,normal,normal,0,0
2025-04-30,None,normal,normal,normal,normal,0,0
2025-05-01,None,normal,normal,normal,normal,0,0
2025-05-02,None,normal,normal,normal,normal,0,0
2025-05-03,None,normal,normal,normal,normal,0,0
2025-05-04,None,normal,normal,normal,normal,0,0
2025-05-05,None,normal,normal,normal,normal,0,0
2025-05-06,None,normal,normal,normal,normal,0,0
2025-05-07,None,normal,normal,normal,normal,0,0
2025-05-08,None,normal,normal,normal,normal,0,0
2025-05-09,None,normal,normal,normal,normal,0,0
2025-05-10,None,normal,normal,normal,normal,0,0
2025-05-11,None,normal,normal,normal,normal,0,0
2025-05-12,None,normal,normal,normal,normal,0,0
2025-05-13,None,normal,normal,normal,normal,0,0
2025-05-14,None,normal,normal,normal,normal,0,0
2025-05-15,None,normal,normal,normal,normal,0,0
2025-05-16,None,normal,normal,normal,normal,0,0
2025-05-17,None,normal,normal,normal,normal,0,0
2025-05-18,None,normal,normal,normal,normal,0,0
2025-05-19,None,normal,normal,normal,normal,0,0
2025-05-20,None,normal,normal,normal,normal,0,0
2025-05-21,None,normal,normal,normal,normal,0,0
2025-05-22,None,normal,normal,normal,normal,0,0
2025-05-23,None,normal,normal,normal,normal,0,0
2025-05-24,None,normal,normal,normal,normal,0,0
2025-05-25,None,normal,normal,normal,normal,0,0
2025-05-26,None,normal,normal,normal,normal,0,0
2025-05-27,None,normal,normal,normal,normal,0,0
2025-05-28,None,normal,normal,normal,normal,0,0
2025-05-29,None,normal,normal,normal,normal,0,0
2025-05-30,None,normal,normal,normal,normal,0,0
2025-05-31,None,normal,normal,normal,normal,0,0
2025-06-01,None,normal,normal,normal,normal,0,0
2025-06-02,None,normal,normal,normal,normal,0,0
2025-06-03,None,normal,normal,normal,normal,0,0
2025-06-04,None,normal,normal,normal,normal,0,0
2025-06-05,None,normal,normal,normal,normal,0,0
2025-06-06,Long Weekend,long_weekend,normal,expected demand uplift,pre_long_weekend_stock_up,0,0
2025-06-07,Long Weekend,long_weekend,normal,event-affected demand,long_weekend,0,0
2025-06-08,Long Weekend,long_weekend,normal,event-affected demand,long_weekend,0,0
2025-06-09,Long Weekend,long_weekend,normal,event-affected demand,long_weekend,0,0
2025-06-10,Long Weekend,long_weekend,normal,post-event recovery,post_long_weekend,0,0
2025-06-11,None,normal,normal,normal,normal,0,0
2025-06-12,None,normal,normal,normal,normal,0,0
