date,store_id,product_id,scenario_name,baseline_forecast_units,scenario_forecast_units,baseline_forecast_sales,scenario_forecast_sales,forecast_variance_units,forecast_variance_sales,holiday_flag,holiday_name,event_type,event_window,trading_status,closure_flag,reduced_trading_flag,disruption_flag
2026-01-01,S001,P001,Event-adjusted scenario,603,374,1447.2,897.6,-229,-549.6,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S001,P002,Event-adjusted scenario,494,302,1580.8,966.4,-192,-614.4,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S001,P003,Event-adjusted scenario,343,215,1886.5,1182.5,-128,-704.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S001,P004,Event-adjusted scenario,216,144,864.0,576.0,-72,-288.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S001,P005,Event-adjusted scenario,106,64,901.0,544.0,-42,-357.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S001,P006,Event-adjusted scenario,325,196,1950.0,1176.0,-129,-774.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S001,P007,Event-adjusted scenario,374,253,2805.0,1897.5,-121,-907.5,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S001,P008,Event-adjusted scenario,228,146,866.4,554.8,-82,-311.6,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S001,P009,Event-adjusted scenario,185,111,2035.0,1221.0,-74,-814.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S001,P010,Event-adjusted scenario,293,186,820.4,520.8,-107,-299.6,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P001,Event-adjusted scenario,523,331,1255.2,794.4,-192,-460.8,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P002,Event-adjusted scenario,430,271,1376.0,867.2,-159,-508.8,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P003,Event-adjusted scenario,298,193,1639.0,1061.5,-105,-577.5,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P004,Event-adjusted scenario,190,108,760.0,432.0,-82,-328.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P005,Event-adjusted scenario,92,52,782.0,442.0,-40,-340.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P006,Event-adjusted scenario,281,173,1686.0,1038.0,-108,-648.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P007,Event-adjusted scenario,321,192,2407.5,1440.0,-129,-967.5,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P008,Event-adjusted scenario,196,128,744.8,486.4,-68,-258.4,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P009,Event-adjusted scenario,162,99,1782.0,1089.0,-63,-693.0,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S002,P010,Event-adjusted scenario,255,148,714.0,414.4,-107,-299.6,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
2026-01-01,S003,P001,Event-adjusted scenario,418,287,1003.2,688.8,-131,-314.4,1,New Year,new_year,new_years_day_reduced_trading,reduced_trading,0,1,0
